Country Name,2010,2011,2012,2013,2014,2015,2016
秘鲁,5082.354757,5869.32308,6528.972218,6756.752769,6679.341948,6227.586716,6205.3709
菲律宾,2124.05677,2345.327754,2572.629425,2749.386636,2831.316667,2867.15199,2941.21204
巴布亚新几内亚,1949.34856,2406.897103,2790.699587,2729.875551,2920.774825,2679.326711,2509.629007
波兰,12599.53358,13893.50926,13145.53926,13781.06261,14347.91458,12572.32185,12431.57542
預人口紅利,1386.538922,1572.979941,1684.116329,1789.071845,1859.91996,1585.942265,1403.453447
波多黎各,26435.74879,27278.88305,27944.73389,28513.16574,28981.45733,29764.05389,30628.75478
葡萄牙,22538.65408,23196.18375,20577.40264,21618.73534,22077.53613,19252.63495,19977.39849
巴拉圭,4355.934939,5322.96376,5183.082877,5926.832863,6102.943233,5406.703857,5319.410218
约旦河西岸和加沙,2354.125987,2695.193853,2834.021525,3060.312389,3046.821798,2967.851747,3074.291152
太平洋岛国,2897.483969,3404.54485,3591.851379,3676.08082,3945.603083,3782.032777,3885.782088
人口紅利之後,39509.7953,42293.58872,42071.30827,42297.68678,42966.73003,40474.3376,41182.42805
罗马尼亚,8209.919456,9104.995622,8535.046876,9555.244217,10026.97358,8977.498544,9567.097782
俄罗斯联邦,10674.9972,14351.21205,15434.57478,16007.08999,14100.7291,9313.787542,8745.375116
卢旺达,576.049201,637.6284383,695.2740829,704.9801594,723.281841,728.0817574,726.353049
南亚,1257.66949,1367.338787,1364.441602,1381.881309,1494.461188,1541.835813,1648.678479
沙特阿拉伯,19262.54768,23745.80161,25243.3587,24844.74437,24463.90316,20627.93278,19879.29753
塞内加尔,1278.977754,1371.723353,1330.057448,1375.678754,1394.794743,1218.764246,1269.040407
新加坡,47236.96023,53890.42873,55546.48854,56967.42579,57562.53079,55646.61875,56724.17039
所罗门群岛,1290.398779,1722.418113,1913.232022,1977.451411,1996.781176,1914.467926,1990.031497
塞拉利昂,401.8350014,448.3375255,566.3786569,716.8353047,714.7007124,588.2284527,501.4157129
萨尔瓦多,2983.229771,3266.010452,3428.410386,3509.531493,3589.040604,3705.577946,3800.122181
塞尔维亚,5735.422857,6809.159804,6015.945228,6755.073511,6600.05665,5585.117808,5756.381194
撒哈拉以南非洲地区（不包括高收入）,1575.222758,1737.452571,1781.425063,1843.34454,1884.349687,1668.215982,1510.048357
撒哈拉以南非洲地区,1576.176004,1738.47572,1782.408543,1844.577249,1885.558172,1669.443418,1511.3049
小国,11191.49531,13284.48724,13672.58756,13888.51918,14024.72971,11732.17339,11298.81941
圣多美和普林西比,1094.710636,1263.865523,1340.526507,1577.022329,1782.797756,1595.861423,1710.133948
苏里南,8255.796859,8263.172923,9201.008785,9402.233137,9472.0076,8561.974179,5606.712075
斯洛伐克共和国,16600.61359,18187.15744,17274.6423,18191.61279,18629.77966,16182.30372,16544.22781
斯洛文尼亚,23437.47202,24985.24827,22532.43564,23357.9392,24194.97435,20887.51964,21617.57985
瑞典,52132.91853,59666.07202,57197.19931,60347.68749,59241.60638,50832.55271,51617.54035
斯威士兰,4168.505062,4496.600777,4469.457324,4196.309733,3997.451936,3641.408583,3426.826597
塞舌尔,10804.68447,12189.09516,12006.68296,14765.67398,14700.33434,14745.34146,15077.83902
乍得,891.6988174,983.4472327,967.408126,979.5339592,1018.930956,775.7075235,692.9785958
东亚与太平洋地区 (IBRD与IDA),4045.411068,4907.691743,5432.980876,5950.187377,6349.521859,6556.420419,6623.978189
欧洲与中亚地区 (IBRD与IDA),8249.422465,9976.51225,10356.86657,10929.83092,10297.33222,7981.267098,7648.518446
多哥,533.508792,586.3288415,571.8394289,621.2222598,640.0816111,570.6807371,587.8744094
泰国,5076.342992,5492.115427,5860.58061,6168.264895,5951.883702,5840.046948,5978.611454
塔吉克斯坦,749.552711,847.3821018,969.2964731,1048.227293,1104.171689,929.0958572,802.5180041
土库曼斯坦,4439.200382,5649.952278,6675.185658,7304.287132,7962.239098,6432.680702,6389.548408
拉丁美洲与加勒比海地区 (IBRD与IDA),8974.007984,10119.52347,10102.29563,10237.80717,10322.94239,8716.406758,8404.752742
东帝汶,3656.952175,5095.489043,5879.699782,4888.317123,3441.650571,2585.153878,2053.273798
中东与北非地区 (IBRD与IDA),4178.685372,4652.157905,5036.026187,4641.495942,4485.98379,3972.175733,3934.616702
汤加,3553.220614,4084.624132,4597.742305,4428.566481,4393.940811,4320.63799,3966.15652
南亚 (IBRD与IDA),1257.66949,1367.338787,1364.441602,1381.881309,1494.461188,1541.835813,1648.678479
撒哈拉以南非洲地区 (IBRD与IDA),1576.176004,1738.47572,1782.408543,1844.577249,1885.558172,1669.443418,1511.3049
特立尼达和多巴哥,16683.35538,19034.1492,19161.95991,20026.78753,20169.65301,18332.49031,15786.12052
突尼斯,4141.976353,4264.674946,4152.678587,4222.703245,4305.474165,3859.814436,3698.565075
土耳其,10672.38925,11335.51051,11707.25971,12519.39143,12095.85457,10948.72461,10820.63384
坦桑尼亚,743.4037847,781.4370143,867.8676806,970.4169384,1030.092917,947.9334465,966.4746224
乌干达,622.4988457,602.6846514,668.832462,689.1548142,739.373927,709.0210386,608.7057351
乌克兰,2965.142365,3569.757027,3855.42128,4029.715504,3104.658296,2124.662666,2187.731997
中高等收入国家,6344.152969,7533.005863,8009.525571,8448.564499,8651.290227,8032.489459,7921.734348
乌拉圭,11992.01663,14236.68119,15171.58466,16973.67421,16831.97294,15613.76427,15387.14403
美国,48466.82338,49883.11398,51603.49726,53106.90977,55032.958,56803.47243,57904.20196
乌兹别克斯坦,1377.08214,1564.966945,1740.468298,1907.561704,2492.336643,2615.025134,2567.799418
圣文森特和格林纳丁斯,6292.789829,6242.193281,6390.314389,6639.621791,6684.803622,6921.40975,7041.560804
美属维京群岛,40043.19017,39144.16577,37849.72872,34819.14775,33573.09703,34797.14047,35931.54125
越南,1317.890706,1525.115988,1735.141276,1886.671896,2030.261955,2085.101484,2192.214539
瓦努阿图,2966.857116,3264.537017,3133.090209,3124.233078,3088.258303,2721.635936,2830.965284
世界,9538.846778,10473.62997,10589.20847,10764.19177,10928.87116,10217.65601,10247.93623
萨摩亚,3458.188715,3946.173084,4237.01463,4219.909738,4188.733679,4155.279353,4043.694
也门共和国,1334.784845,1374.621313,1446.53628,1607.152275,1674.002766,1608.744312,1139.870568
南非,7328.593646,8007.377412,7501.40728,6829.020465,6428.293579,5730.934174,5272.627749
赞比亚,1489.45907,1672.94983,1763.094184,1878.903489,1763.056239,1332.194321,1280.578447
津巴布韦,948.3318545,1093.654002,1304.969802,1430.000818,1434.89934,1445.071062,1464.583529
